1542.85,760.35,146.17,260.42,111.14,70.04,106.72,85.17,39.85,110.28,43.17,77.96,92.35,10.22,55.81,21.78,28.48,53.93,48.15,25.90,21.44,11.62,36.15,55.43,47.47,22.38,31.27,29.58,16.61,23.69,8.91,6.74,14.48,19.36,22.90,17.39,18.21,10.58,11.72,24.41,27.07,16.89,17.24,13.39,13.43,29.85,34.52,34.69,24.02,17.85,6.92,16.59,17.28,22.88,19.73,15.97,24.16,41.79,40.11,41.40,35.90,22.38,46.72,23.83,31.05,17.21,7.33,4.92,7.97,9.58,15.88,28.27,20.46,23.12,30.39,13.54,48.65,43.16,99.03,96.01,43.95,24.66,89.91,59.90,42.38,32.14,47.42,31.33,114.49,140.46,45.33,49.81,59.80,135.79,104.01,37.98,13.85,8.42,15.23,8.02,9.96,17.20,21.62,19.96,20.54,12.85,24.27,40.92,53.63,55.47,30.58,18.58,58.27,96.77,27.88,30.03,42.29,72.23,75.10,51.25,31.70,33.53,35.87,35.52,19.02,9.93,14.33,9.80,13.29,9.80,14.33,9.93,19.02,35.52,35.87,33.53,31.70,51.25,75.10,72.23,42.29,30.03,27.88,96.77,58.27,18.58,30.58,55.47,53.63,40.92,24.27,12.85,20.54,19.96,21.62,17.20,9.96,8.02,15.23,8.42,13.85,37.98,104.01,135.79,59.80,49.81,45.33,140.46,114.49,31.33,47.42,32.14,42.38,59.90,89.91,24.66,43.95,96.01,99.03,43.16,48.65,13.54,30.39,23.12,20.46,28.27,15.88,9.58,7.97,4.92,7.33,17.21,31.05,23.83,46.72,22.38,35.90,41.40,40.11,41.79,24.16,15.97,19.73,22.88,17.28,16.59,6.92,17.85,24.02,34.69,34.52,29.85,13.43,13.39,17.24,16.89,27.07,24.41,11.72,10.58,18.21,17.39,22.90,19.36,14.48,6.74,8.91,23.69,16.61,29.58,31.27,22.38,47.47,55.43,36.15,11.62,21.44,25.90,48.15,53.93,28.48,21.78,55.81,10.22,92.35,77.96,43.17,110.28,39.85,85.17,106.72,70.04,111.14,260.42,146.17,760.35
333.84,895.05,271.15,101.87,141.58,143.79,93.22,50.65,24.99,10.76,4.06,34.03,41.78,25.74,27.92,35.02,17.50,24.49,14.09,12.77,12.98,40.48,24.25,11.49,14.36,15.16,6.21,7.72,4.17,10.91,7.76,15.22,15.03,16.04,4.57,10.20,20.99,13.41,6.46,2.31,3.73,8.00,10.85,15.73,19.53,8.62,2.98,4.82,3.89,3.35,7.64,2.34,6.09,10.18,4.88,1.76,6.64,8.91,11.94,9.39,12.62,10.80,7.57,9.09,9.15,3.29,8.98,8.85,4.54,9.47,11.80,4.98,3.86,6.81,2.37,7.26,0.57,3.60,2.53,3.51,5.06,9.32,16.52,11.87,12.29,12.70,9.32,4.17,1.83,5.08,4.53,7.19,8.61,1.83,0.41,3.78,3.59,3.13,9.11,13.71,8.56,2.86,3.62,9.40,10.73,8.21,1.73,2.01,2.18,1.00,6.60,11.00,10.04,8.61,8.20,7.14,6.93,4.59,8.79,7.35,0.97,2.91,7.17,4.48,1.19,3.77,7.41,8.16,8.52,8.16,7.41,3.77,1.19,4.48,7.17,2.91,0.97,7.35,8.79,4.59,6.93,7.14,8.20,8.61,10.04,11.00,6.60,1.00,2.18,2.01,1.73,8.21,10.73,9.40,3.62,2.86,8.56,13.71,9.11,3.13,3.59,3.78,0.41,1.83,8.61,7.19,4.53,5.08,1.83,4.17,9.32,12.70,12.29,11.87,16.52,9.32,5.06,3.51,2.53,3.60,0.57,7.26,2.37,6.81,3.86,4.98,11.80,9.47,4.54,8.85,8.98,3.29,9.15,9.09,7.57,10.80,12.62,9.39,11.94,8.91,6.64,1.76,4.88,10.18,6.09,2.34,7.64,3.35,3.89,4.82,2.98,8.62,19.53,15.73,10.85,8.00,3.73,2.31,6.46,13.41,20.99,10.20,4.57,16.04,15.03,15.22,7.76,10.91,4.17,7.72,6.21,15.16,14.36,11.49,24.25,40.48,12.98,12.77,14.09,24.49,17.50,35.02,27.92,25.74,41.78,34.03,4.06,10.76,24.99,50.65,93.22,143.79,141.58,101.87,271.15,895.05
249.56,357.19,218.36,121.74,357.18,192.97,41.83,51.36,96.43,102.21,11.34,41.81,49.72,20.36,8.16,15.73,16.87,2.28,14.97,19.58,16.71,11.84,27.92,45.66,20.61,15.08,28.51,29.82,19.04,0.69,3.49,10.98,13.59,6.48,1.58,6.97,8.74,10.25,6.65,13.92,16.84,16.75,6.22,5.11,3.10,9.54,3.45,11.00,6.60,3.69,2.77,3.40,5.60,2.36,4.78,7.08,4.14,9.87,12.29,7.86,5.50,6.73,10.69,8.13,8.80,1.44,10.78,8.65,13.79,12.20,13.28,8.79,1.88,2.18,4.87,4.40,3.97,5.86,6.98,7.76,8.03,2.57,4.68,5.65,6.34,3.59,7.60,1.56,7.76,7.53,9.31,14.18,15.70,6.20,2.36,6.56,11.07,14.25,12.36,5.48,4.45,2.03,4.65,6.19,2.80,4.91,7.02,9.75,3.80,2.63,0.98,6.18,10.07,7.22,6.81,5.29,4.73,2.33,9.37,8.02,3.18,0.69,1.44,2.04,4.78,6.11,3.11,7.42,5.20,7.42,3.11,6.11,4.78,2.04,1.44,0.69,3.18,8.02,9.37,2.33,4.73,5.29,6.81,7.22,10.07,6.18,0.98,2.63,3.80,9.75,7.02,4.91,2.80,6.19,4.65,2.03,4.45,5.48,12.36,14.25,11.07,6.56,2.36,6.20,15.70,14.18,9.31,7.53,7.76,1.56,7.60,3.59,6.34,5.65,4.68,2.57,8.03,7.76,6.98,5.86,3.97,4.40,4.87,2.18,1.88,8.79,13.28,12.20,13.79,8.65,10.78,1.44,8.80,8.13,10.69,6.73,5.50,7.86,12.29,9.87,4.14,7.08,4.78,2.36,5.60,3.40,2.77,3.69,6.60,11.00,3.45,9.54,3.10,5.11,6.22,16.75,16.84,13.92,6.65,10.25,8.74,6.97,1.58,6.48,13.59,10.98,3.49,0.69,19.04,29.82,28.51,15.08,20.61,45.66,27.92,11.84,16.71,19.58,14.97,2.28,16.87,15.73,8.16,20.36,49.72,41.81,11.34,102.21,96.43,51.36,41.83,192.97,357.18,121.74,218.36,357.19
1685.65,848.06,128.90,194.68,198.71,127.50,37.88,57.53,35.84,24.57,65.73,43.86,17.54,30.28,66.53,45.35,14.25,30.00,19.08,25.99,24.24,21.78,24.03,11.49,15.98,12.17,14.43,5.24,8.81,8.60,6.65,10.98,5.51,15.42,20.68,8.50,4.74,13.69,14.47,4.35,20.53,7.58,5.97,11.54,9.65,11.78,13.43,5.59,9.00,9.21,7.94,7.68,3.73,2.04,11.68,8.03,3.09,8.54,4.31,10.27,5.00,5.95,6.22,8.53,6.19,5.96,12.39,14.21,7.77,1.93,4.40,1.55,1.98,4.08,8.63,6.87,1.48,6.46,6.47,7.36,6.48,1.34,5.87,8.01,3.93,2.84,4.79,3.89,1.43,8.80,10.04,6.50,6.04,9.58,11.23,8.10,1.53,6.57,8.82,3.69,13.09,10.78,2.37,5.39,4.48,3.52,4.23,5.72,7.76,0.38,6.55,8.61,3.14,3.91,9.98,4.65,5.10,5.87,4.70,3.43,3.78,5.82,3.80,7.34,6.05,6.61,10.34,7.83,4.92,7.83,10.34,6.61,6.05,7.34,3.80,5.82,3.78,3.43,4.70,5.87,5.10,4.65,9.98,3.91,3.14,8.61,6.55,0.38,7.76,5.72,4.23,3.52,4.48,5.39,2.37,10.78,13.09,3.69,8.82,6.57,1.53,8.10,11.23,9.58,6.04,6.50,10.04,8.80,1.43,3.89,4.79,2.84,3.93,8.01,5.87,1.34,6.48,7.36,6.47,6.46,1.48,6.87,8.63,4.08,1.98,1.55,4.40,1.93,7.77,14.21,12.39,5.96,6.19,8.53,6.22,5.95,5.00,10.27,4.31,8.54,3.09,8.03,11.68,2.04,3.73,7.68,7.94,9.21,9.00,5.59,13.43,11.78,9.65,11.54,5.97,7.58,20.53,4.35,14.47,13.69,4.74,8.50,20.68,15.42,5.51,10.98,6.65,8.60,8.81,5.24,14.43,12.17,15.98,11.49,24.03,21.78,24.24,25.99,19.08,30.00,14.25,45.35,66.53,30.28,17.54,43.86,65.73,24.57,35.84,57.53,37.88,127.50,198.71,194.68,128.90,848.06
1233.90,1486.03,422.53,18.54,44.39,101.61,23.95,45.51,38.57,65.48,48.13,40.62,3.66,27.73,29.93,9.88,7.44,18.61,12.39,21.55,24.08,13.52,21.31,14.11,19.05,15.79,10.91,9.04,24.51,20.01,7.12,16.68,1.33,9.83,5.17,4.46,5.94,3.47,11.45,13.88,7.46,5.67,4.94,2.38,3.66,12.06,0.47,20.23,22.75,11.50,7.34,1.99,5.53,12.19,4.38,16.62,15.72,12.33,2.31,8.77,7.44,7.03,10.07,2.29,6.86,8.20,3.15,3.43,1.58,4.28,10.61,5.76,1.90,3.95,7.11,4.50,2.81,5.44,4.67,0.67,10.54,8.95,5.85,2.68,5.12,15.36,9.90,3.86,5.99,6.11,7.23,8.65,10.46,8.87,9.42,3.31,4.91,7.04,1.10,4.80,7.65,7.47,4.53,4.18,5.75,3.03,4.52,7.44,3.68,7.71,6.28,6.89,10.13,6.01,5.49,8.44,3.24,3.99,1.63,4.14,5.02,7.62,4.43,5.25,1.76,5.55,7.75,7.12,15.41,7.12,7.75,5.55,1.76,5.25,4.43,7.62,5.02,4.14,1.63,3.99,3.24,8.44,5.49,6.01,10.13,6.89,6.28,7.71,3.68,7.44,4.52,3.03,5.75,4.18,4.53,7.47,7.65,4.80,1.10,7.04,4.91,3.31,9.42,8.87,10.46,8.65,7.23,6.11,5.99,3.86,9.90,15.36,5.12,2.68,5.85,8.95,10.54,0.67,4.67,5.44,2.81,4.50,7.11,3.95,1.90,5.76,10.61,4.28,1.58,3.43,3.15,8.20,6.86,2.29,10.07,7.03,7.44,8.77,2.31,12.33,15.72,16.62,4.38,12.19,5.53,1.99,7.34,11.50,22.75,20.23,0.47,12.06,3.66,2.38,4.94,5.67,7.46,13.88,11.45,3.47,5.94,4.46,5.17,9.83,1.33,16.68,7.12,20.01,24.51,9.04,10.91,15.79,19.05,14.11,21.31,13.52,24.08,21.55,12.39,18.61,7.44,9.88,29.93,27.73,3.66,40.62,48.13,65.48,38.57,45.51,23.95,101.61,44.39,18.54,422.53,1486.03
506.06,769.01,417.16,64.26,167.39,67.08,97.15,54.94,37.06,23.35,43.93,51.76,47.03,38.79,46.66,40.78,18.28,38.44,42.54,42.02,12.52,17.66,18.64,25.18,11.81,50.03,41.72,14.89,10.12,13.15,3.30,6.25,18.93,17.09,19.30,5.72,5.80,4.84,10.99,3.58,9.94,16.14,13.68,21.94,17.11,14.35,5.52,4.98,13.67,12.18,6.30,5.84,8.07,6.59,8.64,9.51,3.53,8.25,16.25,11.80,6.56,3.84,2.28,7.01,7.45,5.98,4.50,10.38,10.21,7.45,4.61,2.12,3.65,5.30,5.23,2.48,2.19,7.58,9.94,9.12,2.01,5.50,6.88,4.84,4.01,4.16,11.86,7.29,4.80,2.94,2.03,6.04,8.06,4.84,6.99,3.98,4.44,6.34,3.22,4.61,3.73,1.31,7.04,1.13,2.53,3.58,0.95,2.78,1.05,5.63,5.19,4.30,2.74,9.94,12.24,3.83,8.99,11.64,12.54,10.09,3.60,4.23,1.00,1.87,2.20,4.62,1.84,2.60,4.23,2.60,1.84,4.62,2.20,1.87,1.00,4.23,3.60,10.09,12.54,11.64,8.99,3.83,12.24,9.94,2.74,4.30,5.19,5.63,1.05,2.78,0.95,3.58,2.53,1.13,7.04,1.31,3.73,4.61,3.22,6.34,4.44,3.98,6.99,4.84,8.06,6.04,2.03,2.94,4.80,7.29,11.86,4.16,4.01,4.84,6.88,5.50,2.01,9.12,9.94,7.58,2.19,2.48,5.23,5.30,3.65,2.12,4.61,7.45,10.21,10.38,4.50,5.98,7.45,7.01,2.28,3.84,6.56,11.80,16.25,8.25,3.53,9.51,8.64,6.59,8.07,5.84,6.30,12.18,13.67,4.98,5.52,14.35,17.11,21.94,13.68,16.14,9.94,3.58,10.99,4.84,5.80,5.72,19.30,17.09,18.93,6.25,3.30,13.15,10.12,14.89,41.72,50.03,11.81,25.18,18.64,17.66,12.52,42.02,42.54,38.44,18.28,40.78,46.66,38.79,47.03,51.76,43.93,23.35,37.06,54.94,97.15,67.08,167.39,64.26,417.16,769.01
436.05,641.43,111.37,270.26,114.61,176.22,119.14,47.76,47.50,23.77,33.18,28.50,9.77,9.62,31.11,24.76,9.94,19.80,10.67,22.18,26.21,19.82,9.98,12.99,30.92,12.68,34.45,30.92,6.03,13.90,20.24,13.59,25.72,28.34,18.63,14.69,20.95,16.80,13.95,13.40,5.27,13.55,19.97,6.68,17.73,17.47,9.12,12.58,12.88,12.76,8.36,6.26,9.50,8.33,5.16,4.92,5.84,8.00,10.86,8.81,8.38,15.40,7.46,11.75,14.27,3.93,5.91,2.62,4.89,4.04,5.74,6.46,8.03,9.18,4.48,6.40,3.95,4.86,6.60,7.86,5.88,9.64,11.95,3.53,4.19,8.94,9.81,11.91,4.78,5.98,10.78,3.45,3.10,4.98,10.79,7.23,7.92,11.54,4.29,4.34,8.23,11.37,4.64,3.64,5.22,3.92,4.22,3.43,3.13,6.17,3.63,1.37,3.13,3.25,2.80,2.28,4.24,8.23,5.14,3.39,8.21,3.98,4.36,10.07,4.60,4.51,3.95,3.24,1.85,3.24,3.95,4.51,4.60,10.07,4.36,3.98,8.21,3.39,5.14,8.23,4.24,2.28,2.80,3.25,3.13,1.37,3.63,6.17,3.13,3.43,4.22,3.92,5.22,3.64,4.64,11.37,8.23,4.34,4.29,11.54,7.92,7.23,10.79,4.98,3.10,3.45,10.78,5.98,4.78,11.91,9.81,8.94,4.19,3.53,11.95,9.64,5.88,7.86,6.60,4.86,3.95,6.40,4.48,9.18,8.03,6.46,5.74,4.04,4.89,2.62,5.91,3.93,14.27,11.75,7.46,15.40,8.38,8.81,10.86,8.00,5.84,4.92,5.16,8.33,9.50,6.26,8.36,12.76,12.88,12.58,9.12,17.47,17.73,6.68,19.97,13.55,5.27,13.40,13.95,16.80,20.95,14.69,18.63,28.34,25.72,13.59,20.24,13.90,6.03,30.92,34.45,12.68,30.92,12.99,9.98,19.82,26.21,22.18,10.67,19.80,9.94,24.76,31.11,9.62,9.77,28.50,33.18,23.77,47.50,47.76,119.14,176.22,114.61,270.26,111.37,641.43
291.46,387.91,262.39,221.77,194.89,69.34,50.22,57.57,62.76,32.22,54.64,22.12,28.95,14.20,36.63,23.47,19.76,6.68,35.61,9.48,15.99,21.26,23.27,38.68,28.85,11.68,6.62,9.35,23.96,24.09,17.79,21.22,25.51,14.26,9.48,10.50,2.41,7.84,2.30,1.19,4.46,8.13,12.10,6.06,15.55,7.72,4.67,7.86,17.26,3.54,4.17,7.53,6.93,11.52,11.96,11.42,7.40,4.13,8.45,10.73,9.22,17.88,15.87,10.95,2.02,11.94,15.93,9.85,3.33,1.19,3.15,4.43,3.88,7.46,5.33,10.58,8.40,1.27,2.74,2.42,4.23,4.03,4.38,3.31,7.64,8.59,3.56,5.77,6.70,7.03,8.96,5.11,8.26,12.10,10.48,11.20,6.40,0.67,4.89,4.45,5.14,9.09,2.59,2.49,3.33,6.07,5.81,3.62,2.26,5.54,3.18,7.94,5.11,5.44,5.70,3.62,6.05,7.15,2.67,4.59,6.03,1.88,7.77,11.52,11.14,6.30,0.45,3.28,0.91,3.28,0.45,6.30,11.14,11.52,7.77,1.88,6.03,4.59,2.67,7.15,6.05,3.62,5.70,5.44,5.11,7.94,3.18,5.54,2.26,3.62,5.81,6.07,3.33,2.49,2.59,9.09,5.14,4.45,4.89,0.67,6.40,11.20,10.48,12.10,8.26,5.11,8.96,7.03,6.70,5.77,3.56,8.59,7.64,3.31,4.38,4.03,4.23,2.42,2.74,1.27,8.40,10.58,5.33,7.46,3.88,4.43,3.15,1.19,3.33,9.85,15.93,11.94,2.02,10.95,15.87,17.88,9.22,10.73,8.45,4.13,7.40,11.42,11.96,11.52,6.93,7.53,4.17,3.54,17.26,7.86,4.67,7.72,15.55,6.06,12.10,8.13,4.46,1.19,2.30,7.84,2.41,10.50,9.48,14.26,25.51,21.22,17.79,24.09,23.96,9.35,6.62,11.68,28.85,38.68,23.27,21.26,15.99,9.48,35.61,6.68,19.76,23.47,36.63,14.20,28.95,22.12,54.64,32.22,62.76,57.57,50.22,69.34,194.89,221.77,262.39,387.91
570.08,620.90,297.11,47.79,47.68,66.03,21.60,42.32,81.59,68.07,51.36,32.73,31.86,47.51,26.66,8.31,6.79,5.27,16.44,15.58,11.64,17.84,18.92,17.95,0.55,18.09,23.21,13.28,26.52,28.95,27.84,28.92,22.44,10.37,5.14,11.08,11.55,16.12,7.01,10.91,14.48,5.90,10.72,9.74,9.44,28.11,19.76,5.81,10.75,8.01,12.10,11.91,16.09,16.18,7.17,3.10,12.02,12.05,10.13,3.57,1.88,3.82,8.78,8.16,10.71,9.61,5.77,3.96,9.72,6.55,2.98,2.51,4.35,0.46,7.16,8.69,12.55,1.34,1.37,3.75,4.27,4.85,4.54,6.67,6.50,6.76,1.70,3.39,9.95,11.48,10.55,9.61,7.01,0.34,7.19,8.30,8.47,11.27,5.98,5.28,10.12,4.51,3.92,1.85,5.72,7.72,1.45,7.62,12.15,9.72,1.69,1.81,0.86,2.58,2.00,3.29,1.85,2.24,1.54,3.42,2.85,3.22,6.20,0.17,4.46,6.14,8.05,3.70,4.18,3.70,8.05,6.14,4.46,0.17,6.20,3.22,2.85,3.42,1.54,2.24,1.85,3.29,2.00,2.58,0.86,1.81,1.69,9.72,12.15,7.62,1.45,7.72,5.72,1.85,3.92,4.51,10.12,5.28,5.98,11.27,8.47,8.30,7.19,0.34,7.01,9.61,10.55,11.48,9.95,3.39,1.70,6.76,6.50,6.67,4.54,4.85,4.27,3.75,1.37,1.34,12.55,8.69,7.16,0.46,4.35,2.51,2.98,6.55,9.72,3.96,5.77,9.61,10.71,8.16,8.78,3.82,1.88,3.57,10.13,12.05,12.02,3.10,7.17,16.18,16.09,11.91,12.10,8.01,10.75,5.81,19.76,28.11,9.44,9.74,10.72,5.90,14.48,10.91,7.01,16.12,11.55,11.08,5.14,10.37,22.44,28.92,27.84,28.95,26.52,13.28,23.21,18.09,0.55,17.95,18.92,17.84,11.64,15.58,16.44,5.27,6.79,8.31,26.66,47.51,31.86,32.73,51.36,68.07,81.59,42.32,21.60,66.03,47.68,47.79,297.11,620.90
1230.16,955.39,354.13,98.43,87.70,53.01,24.17,96.06,94.06,45.39,34.41,19.31,11.41,24.96,45.50,57.24,41.25,14.08,10.52,24.18,15.90,25.28,31.29,16.39,12.54,6.75,21.23,15.07,11.20,7.93,4.34,22.31,20.75,6.76,25.55,17.19,7.72,14.91,15.15,9.14,9.54,10.48,15.57,6.37,8.47,11.94,14.22,15.58,4.89,8.71,10.34,0.84,8.97,11.42,10.59,16.43,16.02,7.06,8.39,8.67,6.77,1.83,2.90,6.68,6.29,4.74,3.06,8.01,14.41,4.97,1.45,5.01,2.35,4.35,6.99,4.06,2.09,6.93,11.20,3.11,7.90,12.74,17.93,9.73,2.23,1.72,4.88,3.72,6.18,5.82,5.77,9.86,3.94,9.79,6.46,7.94,8.17,3.91,3.33,11.41,7.13,2.86,2.75,2.92,6.14,4.20,1.10,1.21,5.29,7.54,6.20,1.39,3.93,3.49,5.67,5.23,3.97,7.93,12.32,1.09,6.50,0.68,5.39,9.34,6.88,8.66,8.89,10.97,6.81,10.97,8.89,8.66,6.88,9.34,5.39,0.68,6.50,1.09,12.32,7.93,3.97,5.23,5.67,3.49,3.93,1.39,6.20,7.54,5.29,1.21,1.10,4.20,6.14,2.92,2.75,2.86,7.13,11.41,3.33,3.91,8.17,7.94,6.46,9.79,3.94,9.86,5.77,5.82,6.18,3.72,4.88,1.72,2.23,9.73,17.93,12.74,7.90,3.11,11.20,6.93,2.09,4.06,6.99,4.35,2.35,5.01,1.45,4.97,14.41,8.01,3.06,4.74,6.29,6.68,2.90,1.83,6.77,8.67,8.39,7.06,16.02,16.43,10.59,11.42,8.97,0.84,10.34,8.71,4.89,15.58,14.22,11.94,8.47,6.37,15.57,10.48,9.54,9.14,15.15,14.91,7.72,17.19,25.55,6.76,20.75,22.31,4.34,7.93,11.20,15.07,21.23,6.75,12.54,16.39,31.29,25.28,15.90,24.18,10.52,14.08,41.25,57.24,45.50,24.96,11.41,19.31,34.41,45.39,94.06,96.06,24.17,53.01,87.70,98.43,354.13,955.39
